,,,,,,,,,,,,,,,,,,,,,
,№,Контрагент,,,,,,,,,договр,,МП,,,,,БУГАЛТЕРИЯ,,,
,452,306910342,"""SOF DIL MED"" MCHj","Andijon viloyati, Baliqchi tumani, Baliqchi shaharchasi Markaz shoh ko'chasi",914990999,direktor,"
ARTIKOV BAXTIYOR AKRAMJONOVICH ",,01125,20208000505150321001,"667  от  07,04,2025",ожидания,islombek,95/037-09-01,ANDIJON VILOYATI BALIQCHI TUMANI,,,elmurod,94/177-77-28,170300,
,453,311176431,"""SMART CARDIO PHARM"" MCHJ ","Andijon viloyati, Shaxrixon tumani, Shaxrixon shahri Teraktagi MFY, Rahmat Yodgorov ko`chasi, 117-uy ",979997283,direktor,MANASOV ABDULAZIZ XOLMATJON O‘G‘LI,,00083,20208000107023850001,"668  от  08,04,2025",ожидания,islombek,95/037-09-01,ANDIJON VILOYATI BALIQCHI TUMANI,,,,,170300,
,454,309455850,"VODIL TREND FARM"" MCHJ ","Farg'ona viloyati, Farg'ona tumani, Yuqori Vodil QFY Soxibkor ko'chasi, 71-uy",911120550,direktor,XOLDAROVA FARIDAXON UMRDJONOVNA,,01168 ,20208000205514643001,"669  от  08,04,2025",ожидания,DILSHOD,88/664-63-00,FARGONA/OLTIARIQ,,,,,151200,
,455,309015947,"""DARMON-A001"" MCHJ","Surxondaryo viloyati, Sho'rchi tumani, Sho'rchi shahri B.Xolmatov ko`chasi, 1-uy",998923658,direktor,"
MUZAFFAROV ADHAM ABDIQODIR O‘G‘LI",,01037,20208000705456945001,"670  от  08,04,2025",ожидания,AZIZA,,TERMIZ,,,,,,
,456,307039482,"ANOR DAVO FARM"" MCHJ ","Farg'ona viloyati, Rishton tumani, Oq-yer QFY Amir Temur ko'chasi",909400607,direktor,XO‘JAMOV OYBEK ODILJON O‘G‘LI,,00973,20208000405164699001,"671  от  09,04,2025",ожидания,DILSHOD,88/664-63-00,fargona,,,,,,
,457,309624237, “GURLAN SHAHZOD FARM” МСHJ,"Xorazim viloyati,  Gurlan tumani, Gurlan
 shaharchasi, Madatkor mahallasi,
 Navro’z ko’chasi 159- uy",992476777,direktor,ХAYITBOEV SHOKIRJON SHAVKATOVICH,,00083,20208000905538212001,"672  от  10,04,2025",ожидания,SAODAT,99/629-60-00,XORAZIM ,,,,,,
,458,308022504,"""FARM IMRON"" MCHJ"," Тошкент вилояти, Бўка
 тумани, Ўзбекистон кўчаси,
 1-уй",9989938295959,direktor,ABDUVALIYEV JASURJON DONIYOROVICH,,00873,20208000805319388001,"673  от  10,04,2025",ожидания,Дурдонa,978853128,Tash obl,,,,,,
,459,307019095,"""BOYSUN MADINA FARM"" XK ","Surxondaryo viloyati, Termiz sh. A.Navoiy ko'chasi, 5-uy, 37-xonadon ",919700809,direktor,NORMATOV MAMARAJAB UROLOVICH,,00450,20208000105165194001,"674  от  11,04,2025",ожидания,SHAXNOZA ,93/797-74-74,TERMIZ,,,,,190100,
,460,АННУЛИРОВАННЫЙ,,,,,,,,,"675  от  11,04,2025",не отправрено,,,,,,,,,
,461,305660892,"""FAZLIDDIN AC-MOTO"" MCHJ","
Samarqand viloyati, Kattaqo'rg'on sh. Obi Hayot ko'chasi, 43-uy",932300110,direktor,"
NADJIMOV JAXONGIR FAZLITDINOVICH",,00083,20208000000903458001,"676  от  16,04,2025",принито,,,,,,,,,
,462,311385647,"""TIME MET FARM"" MCHJ ","Farg'ona viloyati, Marg'ilon sh. Vatan MFY, Burxoniddin Marg‘iloniy ko`chasi, 417-uy, 66-xonadon",916790609,direktor,"
YUSUPOV MUHAMMADJON AHMADJONOVICH",,00083,20208000407088690001,"677  от  17,04,2025",ожидания,GULI,94/553-96-06,FARGONA,,,,,,
,463,,"""YAS SAM FARM"" MCHJ","Самаркандская область, ГОРОД САМАРКАНД, Sadriddin Ayniy MFY,  Sadriddin Ayniy ko'chasi , 82-uy  ",,direktor,SAMIJANOV SUXROB SOBIROVICH,,00283,20208000907167576001,"678  от  17,04,2025",,,,,,,,,,
,464,308040332,  ALPHA PHARM TRADING,"Buxoro viloyati, Buxoro sh. A.G`ijduvoniy ko`chasi, 103-uy ",934767610,direktor,YAKUBOV KAMOLBEK SOBIROVICH,,01082 ,20208000905321343001,"679  от  17,04,2025",,,,,,,,,,
,465,303815407,"MUBINA-ZUFAR-FARM
МЧЖ","Qoraqalpog'iston Respublikasi, To'rtko'l tumani, To'rtko'l shahri Nukus ko'chasi, 5a-uy",935864747,direktor,"
RADJAPOV DJAMALADDIN KAMILOVICH",,00433,20208000300590662001,"680  от  18,04,2025",,OLIMBOY,99/711-24-43,URGENCH,,,,,220100,
,466,310677838,"  ""EZOZA BIZNES FARM"" MCHJ","Toshkent viloyati, Bekobod sh. Turkiston mahallasi, Turon berk ko'chasi, 363-uy",998903124747,direktor,SUYAROVA RAXIMA XUSANOVNA,,00440  ,20208000905678410001,"681  от  18,04,2025",не отправрено,Dilrabo,90/047-23-97,Bekabod wahar ,Turkiston MFY turon berk kochasi 363,,,,,
,467,200176740,"""UMIDA"" XK ","Farg'ona viloyati, Oltiariq tumani, G'ayrat QFY Тинчлик кучаси 34",0331-08-08,direktor,ABDURASULOV UMARALI TURSUNALIYEVICH,,01128,20208000000238473001,"682  от  21,04,2025",,Dilshod ,88 664 63 00,Farg'ona,,Oltiariq,,,150100,
,468,311528941,"""KURBANOVS FAYZ FARM"" MCHJ","
Toshkent viloyati, Bekobod sh. Turkiston mahallasi, Turon ko'chasi, 363-uy",998901226740,direktor,"KURBONOVA DILOROMJON MIRZOYEVNA",,00489,20208000807123421001,"683  от  22,04,2025",,ДУРДОНА,97/885-31-28,TOSHKENT VIL/BEKOBOD,,,,,,
,469,302428517,"""MERIDIAN FARM"" MCHJ","Самаркандская область, ГОРОД КАТТАКУРГАН, Чордара МФЙ, Мустақиллик кучаси, 124-уй  ",998945309933,direktor,"
TANGIROVA GULABZA GULMUXAMMAD QIZI ",,00083,20208000705007182001,"684  от  22,04,2025",,,,,,,,,,
,470,308627329,"""TEMUR FARM 777"" MCHJ","Самаркандская область, ГОРОД КАТТАКУРГАН, O'ZBEKISTON KO'CHASI  , 210-UY  ",941806969,direktor,"
SAMATOV BOBIRJON OLIMJON O‘G‘LI ",,00083,20208000005416380001,"685  от  22,04,2025",,,,,,,,,,
,471,АННУЛИРОВАННЫЙ,"""YULDUZ SHULASI"" MCHJ","Самаркандская область, ПАСТДАРГОМСКИЙ РАЙОН, ДЖУМАСАМАРКАНДСКАЯ ОБЛАСТЬ, ПАСТДАРГОМСК  ",,direktor,YUNUSOV ALISHER XAYDAROVICH,,00450,20208000800849628001,"686  от  22,04,2025",,,,,,,,,,
,472,305748931,"""SITORA QO'RG'ON DIZAYN"" OK","Samarqand viloyati, Kattaqo'rg'on 
sh. Buxoro ko'chasi, 68-uy, 8-xona",932287222,direktor,"UMURZAKOVA MAFTUNA 
BAXTIYOR QIZI",,00083,20208000900922433001,"687  от  23,04,2025",ожидания,,,,,,,,,
,473,303506363,"""FAYOZBEK FOZILBEK FARM"" MCHJ","Навоийская область, ХАТЫРЧИНСКИЙ РАЙОН, Навоийская область, Хатырчинский район, Боғишамол МСГ, киш. Кўкча  ",,direktor,RASULOVA NAFISA SHAHOBIDDIN QIZI,,01125,20208000400522393001,"688  от  23,04,2025",,,,,,,,,,
,474,200719640,"""GAVXAR"" XK","Самаркандская область, ГОРОД КАТТАКУРГАН, Zarifobod MFY, O‘zbekiston ko'chasi, 214-uy  ",,direktor,DJALILOVA DELBAR KUDRATOVNA,,00083,20208000000323875001,"689  от  23,04,2025",,,,,,,,,,
,475,205622625,""" SIRIUS – FARMA "" MCHJ  ","Самарканд вилояти, САМАРҚАНД ШАҲРИ, ARTYOM",942803005,direktor,_RUSTAMOV SHUXRAT BERKINTOSHEVICH,,00280,20208000004402209001,"690  от  27,03,2025",ожидания,Komil ,97/575 76 15,samarqand,,,,,,
,476,,,,,direktor,,,,,"691  от  27,03,2025",,,,,,,,,,
,477,311820034,"""ZIYO PHARM ABDU"" MCHJ","Самаркандская область, ГОРОД САМАРКАНД, Soʻfi Roziq MFY, Daxbed ko'chasi, 168-uy  ",,direktor,SHODIYEV ABDULAZIZ O‘KTAM O‘G‘LI,,00440,20208000907185204001,"692  от  27,03,2025",принито,,,,,,,,,
,478,311342573,"""YASMIN FARM FAYZ"" MCHJ","Buxoro viloyati, Qorako'l tumani, Qorako'l shahri Eski qal'a mfy, Tabiblar ko'chasi, 6-uy",993873094,direktor,ALLABERDIYEVA NODIRAXON G‘ULOMJON QIZI,,00450,20208000707077383001,"693  от  24,04,2025",ожидания,sayohat ,,buxoro,,,,,,
,479,300090618,"""ALISHERBEK FARM"" XK","Xorazm viloyati, Gurlan tumani, Gurlan shaharchasi П.Махмуд кучаси 13-уй",,direktor,YANGIBAYEVA ROXATOY KARIMOVNA,,00450,20208000104592284001,"694  от  25,04,2025",ожидания,SAODAT,99/629-60-00,URGENCH,,,,,220100,
,480,204665010,"""SHERBEK-DAVRFARMA"" XK ","
Farg'ona viloyati, Quva tumani, Yangiqishloq QFY Гумхона кишлоги",,direktor,"
XAMROKULOV XAYITBOY MAXSUDOVICH ",,01125,20208000104279693001,"695  от  25,04,2025",ожидания,SHAXZODA,90/166-67-78,FARGONA,,,,,150100,
,481,303002209,"""ZIYOD FARM"" MCHJ","
Andijon viloyati, Andijon sh. Yu.Otabekov ko'chasi, 9/a-uy",934488055,direktor,"
RAXMATOVA OBIDAXON ABDURAXMANOVNA",,01120,20208000000371343001,"696  от  28,04,2025",ожидания,gulnoza,97/991-78-71,andijon,,,,,170120,
,482,311667785,"""SARIOSIYO XUSAN FARM"" XK","Сурхандарьинская область, САРЫАССИЙСКИЙ РАЙОН, Afrosiyob MFY,  Kamoliddin Bexzod ko'chasi , 37-uy  ",,direktor,SHOYMARDONOV XASAN ASATULLO O‘G‘LI,,00083,20208000807157561001,"697  от  29,04,2025",ожидания,,,,,,,,,
,483,307546493,"""FAROG'AT FARM ZIYOSI"" MCHJ","Самаркандская область, ТАЙЛЯКСКИЙ РАЙОН, Beruniy ko`chasi 30-uy  ",993390604,direktor,"
XAYDAROV TULKIN JURAMURODOVICH ",,00083,20208000205249848001,"698  от  30,04,2025",ожидания,,,,,,,,,
,484,302990041,"""MAX PHARM SERVICE"" MCHJ","Ташкентская область, ТАШКЕНТСКИЙ РАЙОН, Ибрат МФЙ, ГСКБ кучаси, 15-уй  ",993390604,direktor,"
XAYDAROV TULKIN JURAMURODOVICH ",,1088,2020800010880000365238001,"699  от  01,05,2025",ожидания,,,,,,,,,
,485,303575041,"""OCHILOVA NARGIZA"" XK","Кашкадарьинская область, КИТАБСКИЙ РАЙОН, Х.Дустлиги кўчаси 54-уй  ",,direktor,SHOMURODOV BEHZOD IBRAGIMOVICH,,01048,20208000300550055001,"700  от  01,05,2025",ожидания,,,,,,,,,
,486,,,,,direktor,,,,,"701  от  01,05,2025",,,,,,,,,,
,487,310125874,"""FARM MEXROJ"" MCHJ","Navoiy viloyati, Navoiy sh. Farovon MFY, M.Tarobiy ko‘chasi, 124A-uy, 26-xonadon",972280003,direktor,GIYAZOV MEXRITDIN SHAROFITDINOVICH,,00401,20208000405600444001,"702  от  06,05,2025",ожидания,Зумрад,,Навоий,,,,,,
,488,302938451,"""ZIYO PHARM ATU"" MCHJ","Самаркандская область, ГОРОД САМАРКАНД, Самаркандский область, Самарканд, ул. Дагбитская, дом 11  ",,direktor,SHODIYEV ABDULAZIZ O‘KTAM O‘G‘LI,,00440,20208000205490051001,"703  от  06,05,2025",,,,,,,,,,
,489,300286894,"""RELAKS FARM MEDIKAL"" MCHJ ","Ферганская область, БАГДАДСКИЙ РАЙОН, БАГДАДBAG`DOD SHAHARCHASI SOY BO`YI KO`CH  ",905879108,direktor,MAMADALIYEV JAXONGIR MUXTORJONOVICH,,00401,20208000504594723001,"704  от  07,05,2025",ожидания,Жахонгир ,90/011-41-13,Фаргона вилояти учкуприк тумани,,,,,151600,
,490,300214373,"""ZOIRJON FARM"" XK","Ферганская область, РИШТАНСКИЙ РАЙОН, BO'JAY  ",", 911306284",direktor,XOLBOYEV ABDULXAY SATIB,,00450,20208000804579539001,"705  от  07,05,2025",ожидания,Жахонгир ,90/011-41-13,Фаргона вилояти учкуприк тумани,,,,,151600,
,491,307123854,"""FIRDAVS GOLD-FARM"" XK","Сурхандарьинская область, ШУРЧИНСКИЙ РАЙОН, ШУРЧИ, MUSTAQILLIK KO`CHASI  ",,direktor,ABDUSAMADOVA DILDORA RUSTAMOVNA,,01037,20208000905177724001,"706  от  07,05,2025",ожидания,,,,,,,,,
,492,204749284,"""BEKZOD XK"" XK","Кашкадарьинская область, НИШАНСКИЙ РАЙОН, SHAHRI ULUG`BEK MFY O`ZBEKISTON KO`CHASI  ",,direktor,USMANOVA UGILSORA BARATOVNA,,00450,20208000204301108001,"707  от  07,05,2025",ожидания,,,,,,,,,
,493,311428171,"""MAVLUDA SHIFO NUR"" MCHJ","Самаркандская область, ПАЙАРЫКСКИЙ РАЙОН, Goʻzal MFY,  Otabek Quvvatov ko'chasi , 20-b-uy  ",,direktor,NURMATOV MUXAMMAD NORMUMINOVICH,,00083,20208000407097713001,"708  от  07,05,2025",ожидания,,,,,,,,,
,494,202624774,"""OLMOS"" MCHJ","Самаркандская область, ПАЙАРЫКСКИЙ РАЙОН, ЧЕЛАК ШАХРИ Ш.РАШИДОВ КУЧАСИ N50-УЙ  ",,direktor,MAXMUDOV JASUR FOZILOVICH,,00439,20208000400379987001,"709  от  07,05,2025",ожидания,,,,,,,,,
,495,305655479,"""NILUFARXON EZOZA"" XK","
Buxoro viloyati, Qorako'l tumani, Qorako'l QFY Ulug'bek ko'chasi",993502084,direktor,"
UMAROV AKMAL BOBONIYOZOVICH",,00450,20208000300906459001,"710  от  08,05,2025",ожидания,,,,,,,,,
,496,308464643,"""EZOZA MED FARM 777"" MCHJ","Сурхандарьинская область, КУМКУРГАНСКИЙ РАЙОН, BOG'ARO MAHALLASI  ",978501422,direktor,"
RAXMONOVA DILDORA SOATMUROTOVNA ",,01037,20208000005385790001,"711  от  08,05,2025",ожидания,,,,,,,,,
,497,203419893,"""SHAMSIY-KAMAR"" XK","Андижанская область, Jalolquduq tumani, Oyim shaharchasi, Oyim maxallasi  ",9899426,direktor,SHAXABUTDINOVA RANOXON BAZARBAYEVNA,,00083,20208000804084623001,"712  от  08,05,2025",ожидания,,,,,,,,,
,498,302737512,"""SHOXJAXON FARM SHIFO"" XK","Самаркандская область, НАРПАЙСКИЙ РАЙОН, OLTIO`G`IL QFY OLTIO`G`IL QISHLOGI  ",,direktor,ESHMIRZAYEV BAXROMJON TOIROVICH,,00433,20208000000263840001,"713  от  08,05,2025",ожидания,,,,,,,,,
,499,306039530,"""O`KTAM FARM-SHIFO"" MCHJ","Кашкадарьинская область, КАСБИНСКИЙ РАЙОН, Tinchlik mahallasi  ",,direktor,TOSHQOBILOV JA’FARBEK O‘KTAM O‘G‘LI,,00491,20208000001004443001,"714  от  08,05,2025",ожидания,,,,,,,,,
,500,309570654,"""MED AKOBIR"" XK","Кашкадарьинская область, ЯККАБАГСКИЙ РАЙОН, Чўмич МФЙ, Элобод кучаси, 6-уй  ",,direktor,XUDOYBERDIYEVA MUQADDAS YULDOSHEVNA,,01125,20208000705528957001,"715  от  08,05,2025",ожидания,,,,,,,,,
,501,302128669,"""MAHLIYO FARM SERVIS"" XK ","Хорезмская область, ГУРЛЕНСКИЙ РАЙОН, Mustaqillik ko'chasi  10-uy  ",977909828,direktor,SAPAROV UMIDJON ISKANDAROVICH,,00083,20208000204941189001,"716  от  12,05,2025",ожидания,SAODAT,99/629-60-00,URGENCH,,,,,220100,
,502,303108787,"""ASADBEK MEGA FARM"" XK","Ферганская область, БАГДАДСКИЙ РАЙОН, ИСЛОМОБОД КУЧАСИ 23А-УЙ  ",,direktor,MAXMUDOVA E’ZOZXON BAHROMJON-QIZI,,01125,20208000600463974001,"717  от  13,05,2025",ожидания,,,,,,,,,
,503,311716960,"""TOSHKENT PHARM777"" MCHJ","Самаркандская область, ГОРОД САМАРКАНД, Mevazor MFY,  Beruniy ko'chasi , 10-uy  ",,direktor,SHUKURILLAYEV BEKZOD NURILLO O‘G‘LI,,00312,20208000107164833001,"718  от  14,05,2025",ожидания,,,,,,,,,
,504,309747179,"""TO`TIYOXON FARM"" MCHJ","Андижанская область, Гузар МФЙ, Мустақиллик кучаси, 19-уй  ",998621017,direktor,"
OBIDOV DILMURODBEK XOMIDJON O‘G‘LI ",,01125,20208000905552310001,"719  от  14,05,2025",ожидания,ISLOMBEK,95/037-09-01,ANDIJON VILOYATI,,BALIQCHI ,,,170300,
,505,311862195,"""DOFAMIN PLUS"" MCHJ  ","Ферганская область, БАГДАДСКИЙ РАЙОН, Muqimiy MFY, Islomobod ko'chasi, 136-uy  ",,direktor,SHERG‘OZIYEV YUSUFBEK ULUG‘BEKOVICH,,01076,20208000207191731001,"720  от  15,05,2025",ожидания,Жахонгир ,90/011-41-13,Фаргона вилояти учкуприк тумани,,,,,151600,
,506,309807349,"""BEY FARM SHOVOT"" MCHJ ","Хорезмская область, ШАВАТСКИЙ РАЙОН, Шовот МФЙ, Тадбиркорлар кучаси, 152-уй  ",,direktor,MADAMINOVA SHAXNOZA SHAVKATOVNA,,01129,20208000905562318001,"721  от  15,05,2025",ожидания,SAODAT,99/629-60-00,URGENCH,,,,,220100,
,507,308913645,"""FARM FEMIDA"" MCHJ","г. Ташкент, МИРЗО УЛУГБЕКСКИЙ РАЙОН, SAYRAM 7-TOR KO`CHASI, 50  ",939930031,direktor,XODJAMKULOV FAYZULLO LUTFILLOYEVICH,,01136,20208000105447173001,"722  от  15,05,2025",принито,XIKMATILLA,95/870-71-77,TOSHKENT ,,,,,,
,508,307811274,"""BIZNES-GOLD-PLUS"" MCHJ","Кашкадарьинская область, ГОРОД КАРШИ, Otchopar MFY, Shiroq ko‘chasi, 1-uy  ",,direktor,SHERKULOV BOBIR SADILLO O‘G‘LI,,01095,20208000405290270001,"723  от  16,05,2025",,,,,,,,,,
,509,202526041,"""MIRZOXID ISKANDAR"" XK","Кашкадарьинская область, ГОРОД ШАҲРИСАБЗ, Tutzor MFY Ipak yo'li ko'chasi 108 a uy  ",,direktor,XUSHVAKTOV ABDUJAMIL TOSHEVICH,,00083,20208000603890329001,"724  от  19,05,2025",,,,,,,,,,
,510,309180048,"""AKOBIR-MEDFARM"" XK","Кашкадарьинская область, Kukdala qishlog`i  ",,direktor,BERDIYEV XOLMON OCHILOVICH,,01119,20208000505476286001,"725  от  19,05,2025",,,,,,,,,,
,511,304270224,"""NURBEK NIYOZOV"" MCHJ","Кашкадарьинская область, ГОРОД ШАҲРИСАБЗ, TUTZOR M.FY. IPAK.YO`LI KO`CHASI  ",,direktor,NIYOZOV NE’MATJON JUMAYEVICH,,00450,20208000700700155001,"726  от  19,05,2025",,,,,,,,,,
,512,302341262,"""TURDI RASULOVICH"" MCHJ","Кашкадарьинская область, ЧИРАКЧИНСКИЙ РАЙОН, Xonjon ko'chasi 25A uy  ",,direktor,EGAMOV ABDULAZIZ AHROR O‘G‘LI,,00446,20208000704986658001,"727  от  15,05,2025",,,,,,,,,,
,513,311568085,"""FARHOD PHARMACY"" MCHJ","Республика Каракалпакстан, ТУРТКУЛЬСКИЙ РАЙОН, Дустлик МФЙ, Қалдирғоч, туп. кучаси, 2-уй  ",,direktor,DOSCHANOV FARHODJON XASANBOY O‘G‘LI,,00433,20208000007133118001,"728  от  20,05,2025",ожидания,,,,,,,,,
,514,309836241,"""ELNUR FARM MED-777"" MCHJ","Самаркандская область, ДЖАМБАЙСКИЙ РАЙОН, Тут МФЙ, Тут қишлоғи, 484-уй  ",,direktor,TUXTAYEV FARID G‘ANISHER O‘G‘LI,,01037,20208000605564510001,"729  от  20,05,2025",,,,,,,,,,
,515,302493858,"""OZODXON-FARM"" MCHJ","Ташкентская область, БУКИНСКИЙ РАЙОН, КАРАКУЙЛИG'.AZAMATOV MAHALLASI  ",949563612,direktor,UMAROV NAJIMIDDIN SAYTNOSIROVICH,,00440,20208000805026900001,"730  от  21,05,2025",ожидания,,,,,,,,,
,516,306159310,"""NEW STAR BIZNES SENTER"" MCHJ","Андижанская область, КОШТЕПАСАРАЙ, SAFAROBOD  ",939100888,direktor,URINBOYEV OYBEK NEMATJONOVICH,,01125,20208000605038335001,"731  от  21,05,2025",,,,,,,,,,
,517,302491124,"""UNF INNOVATION FARM"" MCHJ","Наманганская область, Mingchinor MFY,  Kosonsoy ko'chasi , 6А-uy  ",,direktor,NARZULLAYEV NOZIM NUSRATOVICH,,00491,20208000005020883001,"732  от  21,05,2025",принито,ISLOMJON,99/795-58-97,NAMANGAN,NAMANGAN,,,,160100,
,518,308666082,"""SAM EZGU PHARM"" MCHJ","Самаркандская область, ГОРОД САМАРКАНД, Gagarin ko'chasi,16-uy,17-xona  ",,direktor,ISRAILOV NODIRBEK OLIMJONOVICH,,01095,20208000905414916001,"733  от  22,05,2025",,,,,,,,,,
,519,308801849,"""SHIFO DARMON FARM MEDICAL"" MCHJ","Кашкадарьинская область, КАСБИНСКИЙ РАЙОН, qishlog`i. Tinchlik MFY. 1/14-Xonadon 0 0 0 0",,direktor,SAYDILLAYEVA GULCHEXRA ABDIXAMIDOVNA,,01119,20208000705430586001,"734  от  22,05,2025",,,,,,,,,,
,520,311470526,"""777 VORID"" MCHJ","Ташкентская область, ГОРОД АЛМАЛЫК, Xamza MFY,  Ulug'bek ko'chasi , 82-uy, 2-xonadon  ",,direktor,VALIYEVA MUBINAXON XUSNUDDINXON QIZI,,00459,20208000207107120001,"735  от  26,05,2025",,,,,,,,,,
,521,307822625,AMUDARYO SAVDO FARM MCHJ,"
Qoraqalpog'iston Respublikasi, Amudaryo tumani, Mang'it shahri Navoiy MFY, Shifokorlar ko'chasi, r/uy",905740007,direktor,AXMEDOV ZAFAR BAXADIROVICH,,01125,20208000205293529001,"736  от  28,05,2025",,DILFUZA,93/397-47-36,MANGIT,,,,,,
,522,,,,,direktor,,,,,"737  от  28,05,2025",,,,,,,,,,
,523,,,,,direktor,,,,,"738  от  28,05,2025",,,,,,,,,,
,524,,"""MAVLUDA SHIFO NUR"" MCHJ",,,direktor,,,,,"739  от  28,05,2025",,,,,,,,,,
,525,311538731,"""ABDULLOH MEDICAL CENTER"" MCHJ","Ферганская область, КУШТЕПИНСКИЙ РАЙОН, Qiyqi MFY,  Soxibkor ko'chasi , 104-uy  ",,direktor,ABDURAXMONOV AKMALJON ABDULLAJONOVICH,,00973,20208000807128483001,"740  от  29,05,2025",ожидания,,,,,,,,,
,526,,,,,direktor,,,,,"741  от  29,05,2025",,,,,,,,,,
,527,301527655,"""QUDRAT MIROJ"" XK","Хорезмская область, БАГАТСКИЙ РАЙОН, O'ZBEKISTON  ",941120275,direktor,QASIMOVA DARMONJON QASIMBAYEVNA,,00433,20208000804860772001,"742  от  29,05,2025",ожидания,,,,,,,,,
,528,307490731,"""DIL ZIYO PHARM"" MCHJ","Ташкентская область, БУКИНСКИЙ РАЙОН, БУКА, O`ZBEKISTON KO`CHASI 18 UY  ",,direktor,FARMONOVA DINARA MUXTAROVNA,,00463,20208000405240737001,"743  от  29,05,2025",,DURDONA,90/992-29-88,TOSHKENT VIL.,BO'KA TUMANI,OZBEKISTON KOCHASI 18- UY,,,,
,529,,,,,direktor,,,,,,,,,,,,,,,
,530,,,,,direktor,,,,,,,,,,,,,,,
,531,306518401,"""REMEDY FARM"""" MCHJ""","""ЧИРАКЧИ, MUSTAQILLIK KO`CHASI""",,direktor,Islom Alisherovich Karimov,,00446,20208000405166126001,"№ 746 от 09.06.2025
",принито,Nigora,,Qashqadaryo vil.,Chiroqchi tumani,,,,,
,532,311166199,"""FIZIO PHARM"" XK                 ","Roguzar MFY. Jayhun ko’chasi, 1-uy ",,direktor,Gapparov Umidjon Tursunpolatovich,,00491,20208000907021410001,№ 747 от 11.06.2025,принито,Husan,,Qashqadaryo vil.,Qarshi sh.,"Jayhun ko'ch, 1-uy ",,,,
,533,306447934,"""MARXAMAT MED PHARM"" MCHJ","г. Ташкент, ЯККАСАРАЙСКИЙ РАЙОН, Sh.Rustaveli ko'chasi, 55-uy, 25-xonadon..  ",933874330,direktor,"
MUTALOV ABDURAXMON ABDUKAXXAROVICH",,01033,20208000205082616001,"748  от  12,06,2025",,DAVRON,,,,,,,,
,534,207173344,"""WARRANTY FARM"" MCHJ  ","Navoiy viloyati, Xatirchi tumani, Yangirabod shahri Paraxun MFY, Po'lkan ko'chasi, 12-uy",907319111,direktor,BARNAYEV JONIBEK TOYIROVICH,,01125,20208000300206413001,"749  от  12,06,2025",ожидания,,,,,,,,,
,535,300899219,"""LAZIZA-FARM MEDIKAL"" XK","Navoiy viloyati, Qiziltepa tumani, Qiziltepa
shahri Gulzor MFY",955522547,direktor," GASANOV RUSTAM
KAMANDAROVICH",,00450 ,20208000804724978001,"750  от  16,06,2025",ожидания,zumrad ,,navoiy,,,,,,
,536,306130238,"“ASLONOV SHAHZODBEK"" MCHJ","Qashqadaryo vil. Kasbi tumani, Mug'lon shaharchasi Tinchlik mahallasi, Xalqa ko'chasi",,direktor,Rajabov Azizjon Ikromovich,,01125,20208000201014850001,"751  от  16,06,2025",принито,Хусан,,Qashqadaryo vil.,,,,,,
,537,,,,,direktor,,,,,"752  от  16,06,2025",,,,,,,,,,
,538,310967832,"""IBROHIM PHARM SERVIS"" MCHJ","Хорезмская область, ШАВАТСКИЙ РАЙОН, Shovot MFY, Do‘stlik ko`chasi, 15-uy  ",,direktor,DO‘SIMOV MAQSAD RASHID O‘G‘LI,,00083,20208000205724782001,"753  от  18,06,2025",ожидания,,,,,,,,,
,539,312030866,“SHAROFATLI FARM” MCHJ,"Qashqadaryo viloyati, Yakkabog` tumani, Chumich ko`chasi, 11-uy",,direktor,JUMANOVA SABOHAT NAFASOVNA,,00165,20208000707227028001,"754  от  18,06,2025",принито,Хусан,,Qashqadaryo vil.,,,,,,
,540,203130986,"""XAKAN"" XK","Ферганская область, ГОРОД ФЕРГАНА, Sanoat (U.Yusupov) ko'chasi, 6-uy.  ",974172434,direktor,"
MAXMUDJANOV XABIBULLO RAXMATILLOYEVICH",,00083,20208000904033197001,"755  от  18,06,2025",ожидания,OYGUL,90/160-68-66,FARGONA,FARGONA SHAXAR,,,,150100,
,541,301055706,"""MUXAMMAD DORISHUNOS"" MCHJ","SAMARQAND VILOYATI, SAMARQAND SHAHRI, АЛ ФАРОБИЙ МФЙ, ИБН ХОЛДУН КУЧАСИ,
1-УЙ",,direktor,"MAMAYUSUFOV SHODMONJON MUXAMMAD O`G`LI
",,"00312
",20208000504763703001,"756  от  18,06,2025",принито,Komil ,,,,,,,,
,542,305426224,"""MAKRO PHARMASEUITICAL"" MCHJ","Андижанская область, Andijon sh., Toshkent ko`chasi, 49-uy  ",934160550,direktor,NISHONOV ALISHER FOZILJONOVICH,,00873,20208000701043702001,"757  от  19,06,2025",ожидания,,,,,,,,,
,543,306223294,“XUSHBOY NASTARIN” MCHJ,"Qashqadaryo vil, Koson tumani, Paxtazor mahallasi",,direktor,"NURMATOV ILHOM ISROILOVICH
",,"00401
",20208000405035393001,"758  от  19,06,2025",принито,Хусан,,Qashqadaryo vil.,,,,,,
,544,,,,,direktor,,,,,"759  от  19,06,2025",,,,,,,,,,
,545,309880348,"""MED TEX SNAB"" MCHJ","Республика Каракалпакстан, ГОРОД НУКУС, Гоне кала МФЙ, Найман кучаси, 7-уй  ",934894149,direktor,KURBANOV BEKPOLAT SAYPNAZAROVICH,,00083,20208000405569296001,"760  от  20,06,2025",ожидания,ulzoda ,90/577-68-26,nukus,,,,,230100,
